tempo,s,i,sick
0.0,0.9997857652234688,0.00021423477653115253,0.0
1.0,0.9997090959236983,0.0002207212641302653,3.826949108022422e-05
2.0,0.9996310382307739,0.000227381973853979,7.522689896188903e-05
3.0,0.9995515989348481,0.00023422106561076284,0.00011098789179096456
4.0,0.9994707800211718,0.00024124279192798932,0.0001456614159195291
5.0,0.9993885789444833,0.0002484514997444022,0.0001793501459959091
6.0,0.9993049888833626,0.00025585163221721237,0.00021215090633544358
7.0,0.9992199989758552,0.00026344773054229,0.00024415506542704857
8.0,0.999133594537584,0.00027124443578577635,0.0002754489053107948
9.0,0.9990457572634891,0.0002792464907252888,0.00030611396744946147
10.0,0.9989564654142647,0.0002874587416987314,0.0003362273766119939
11.0,0.9988656939884902,0.0002958861404585537,0.00036586214418850326
12.0,0.9987734148813913,0.00030453374602912016,0.00039508745226446846
13.0,0.9986795970311069,0.0003134067265646654,0.000423968919695723
14.0,0.998584206553282,0.00032251036120510757,0.0004525688513452496
15.0,0.9984872068647531,0.0003318500419267848,0.00048094647156740925
16.0,0.9983885587970482,0.0003414312753849551,0.0005091581429546584
17.0,0.9982882207003733,0.0003512596847446679,0.0005372575712957487
18.0,0.9981861485387196,0.0003613410114963713,0.000565295997632565
19.0,0.9980822959766851,0.00037168111725235757,0.0005933223782448615
20.0,0.9979766144585658,0.00038228598551988375,0.0006213835533379502
21.0,0.997869053280241,0.0003931617234465154,0.0006495244051576383
22.0,0.9977595596543436,0.00040431456353294846,0.000677788006209175
23.0,0.9976480787691777,0.0004157508653082497,0.0007062157582124483
24.0,0.9975345538418183,0.00042747711696213204,0.0007348475223839645
25.0,0.9974189261658036,0.0004394999369285404,0.0007637217415970717
26.0,0.9973011351538053,0.0004518260754144678,0.0007928755549352728
27.0,0.9971811183756425,0.00046446241586755205,0.000822344905119157
28.0,0.9970588115919844,0.000477415976375615,0.000852164639255312
29.0,0.9969341487840667,0.0004906939109909064,0.0008823686033254145
30.0,0.9968070621797334,0.0005043035109713948,0.0009129897308054061
31.0,0.996677482276096,0.0005182522059310144,0.0009440601257781259
32.0,0.9965453378590913,0.0005325475648903259,0.0009756111408778626
33.0,0.9964105560202032,0.0005471972972185823,0.0010076734503819112
34.0,0.9962730621706044,0.0005622092534577085,0.0010402771187422652
35.0,0.9961327800529602,0.0005775914260182023,0.0010734516648299498
36.0,0.9959896317511312,0.0005933519497364509,0.001107226122145118
37.0,0.9958435376979969,0.0006094991022824257,0.0011416290952278082
38.0,0.9956944166816215,0.0006260413044061685,0.0011766888124871153
39.0,0.9955421858499683,0.0006429871200109272,0.0012124331756503928
40.0,0.995386760714371,0.0006603452560402163,0.0012488898060189098
41.0,0.9952280551519578,0.0006781245621654933,0.0012860860877020677
42.0,0.9950659814072242,0.0006963340302605382,0.0013240492079887843
43.0,0.9949004500929451,0.0007149827936480094,0.0013628061950019192
44.0,0.9947313701906121,0.000734080126103028,0.0014023839527695897
45.0,0.9945586490505813,0.0007536354405980049,0.0014428092938358753
46.0,0.9943821923921156,0.0007736582877722906,0.001484108969522666
47.0,0.994201904303499,0.0007941583541095769,0.001526309697944257
48.0,0.9940176872424071,0.0008151454598053344,0.0015694381898666778
49.0,0.9938294420367111,0.0008366295563059154,0.0016135211724946285
50.0,0.9936370678858957,0.0008586207235003073,0.0016585854112602682
51.0,0.993440462363272,0.0008811291665448742,0.0017046577296798992
52.0,0.9932395214191659,0.0009041652123007857,0.00175176502733682
53.0,0.9930341393852654,0.0009277393053632135,0.0017999342960412293
54.0,0.9928242089803103,0.0009518620036607537,0.0018491926342110462
55.0,0.9926096213173122,0.0009765439736029523,0.0018995672595108419
56.0,0.9923902659124917,0.001001795984753236,0.0019510855197797262
57.0,0.9921660306961257,0.0010276289040040112,0.0020037749022730135
58.0,0.9919368020254985,0.0010540536892301952,0.0020576630412367436
59.0,0.991702464700153,0.0010810813823969672,0.0021127777238286955
60.0,0.9914629019796445,0.001108723102097119,0.0021691468943943444
61.0,0.9912179956039984,0.001136990035493012,0.00222679865710131
62.0,0.9909676258170812,0.0011658934296378425,0.002285761276931182
63.0,0.9907116713930945,0.0011954445821506822,0.0023460631790232144
64.0,0.9904500096664054,0.0012256548312195958,0.0024077329463602234
65.0,0.9901825165649336,0.0012565355449070646,0.002470799315783112
66.0,0.9899090666473134,0.0012880981097319587,0.0025352911723168026
67.0,0.9896295331440566,0.0013203539185024252,0.002601237541786926
68.0,0.9893437880029442,0.0013533143573742933,0.0026686675817034714
69.0,0.9890517019388764,0.0013869907921099595,0.002737610570384695
70.0,0.9887531444884134,0.0014213945535132084,0.002808095894291937
71.0,0.9884479840692451,0.0014565369220160755,0.002880153033543639
72.0,0.9881360880448224,0.0014924291113946541,0.0029538115455747522
73.0,0.9878173227943934,0.0015290822515917303,0.003029101046905935
74.0,0.9874915537886796,0.001566507370625284,0.003106051192985445
75.0,0.9871586456714346,0.0016047153755632583,0.0031846916560654484
76.0,0.9868184623471231,0.0016437170325465642,0.0032650521010736257
77.0,0.9864708670749575,0.0016835229458440778,0.0033471621594404724
78.0,0.9861157225695286,0.0017241435359254239,0.0034310514008425493
79.0,0.9857528911082636,0.0017655890165396155,0.003516749302822213
80.0,0.9853822346459372,0.001807869370790167,0.003604285218245022
81.0,0.9850036149364626,0.001850994326200116,0.0036936883405571165
82.0,0.9846168936621768,0.0018949733287635046,0.0037849876668064122
83.0,0.98422193257083,0.0019398155159832784,0.003878211958393483
84.0,0.9838185936204803,0.001985529688899289,0.00397338969952052
85.0,0.9834067391324803,0.002032124283114126,0.004070549053309803
86.0,0.9829862319527368,0.002079607338828886,0.004169717815566701
87.0,0.982556935621403,0.0021279864699056987,0.004270923366166379
88.0,0.9821187145511535,0.002177268831978889,0.004374192618048145
89.0,0.9816714342141717,0.0022274610896420677,0.004479551963806705
90.0,0.9812149613379586,0.002278569382744193,0.004587027219875632
91.0,0.9807491641100549,0.002330599291833767,0.004696643568304984
92.0,0.9802739123917389,0.002383555802796776,0.0048084254961423475
93.0,0.9797890779407419,0.002437443270740798,0.004922396732434618
94.0,0.9792945346429909,0.0024922653831848185,0.005038580182876555
95.0,0.9787901587533605,0.002548025122621761,0.005156997862141613
96.0,0.9782758291453812,0.0026047247285284885,0.0052776708239407255
