tempo,s,i,sick
0.0,0.9997542082580424,0.00024579174195760167,0.0
1.0,0.9996493242651746,0.0002533051145092187,4.873620803295509e-05
2.0,0.9995459911569345,0.00026103536130023345,9.66827009945663e-05
3.0,0.9994440218361502,0.00026898880716284,0.00014391936759797192
4.0,0.9993432363083825,0.0002771719579317787,0.00019052361496505824
5.0,0.9992434611426244,0.0002855915053430395,0.00023657052045961504
6.0,0.9991445289667433,0.00029425433202536145,0.0002821329773886837
7.0,0.9990462779948853,0.0003031675165831709,0.0003272818348767298
8.0,0.9989485515842982,0.00031233833876925386,0.00037208603220273363
9.0,0.9988511978192459,0.0003217742847450812,0.0004166127278763618
10.0,0.9987540691198854,0.0003314830524263003,0.00046092742371602654
11.0,0.9986570218741548,0.0003414725569104644,0.0005050940841788277
12.0,0.9985599160908893,0.0003517509359835951,0.000549175251180066
13.0,0.9984626150725283,0.00036232655570166296,0.0005932321546281911
14.0,0.9983649851059164,0.00037320801604251495,0.0006373248188896724
15.0,0.9982668951698265,0.0003844041566231869,0.0006815121653873215
16.0,0.9981682166579454,0.00039592406247689743,0.0007258521115250305
17.0,0.9980688231161728,0.00040777706988333795,0.000770401666121692
18.0,0.9979685899931756,0.00041997277224513645,0.0008152170215272008
19.0,0.9978673944032321,0.00043252102600259016,0.0008603536425838912
20.0,0.997765114900482,0.0004454319565779195,0.0009058663525874983
21.0,0.9976616312637698,0.00045871596433940065,0.0009518094163927381
22.0,0.9975568242913446,0.0004723837305747766,0.0009982366207998365
23.0,0.9974505756047375,0.00048644622346232696,0.0010452013523497999
24.0,0.9973427674612015,0.0005009147040268924,0.0010927566726478682
25.0,0.9972332825741519,0.0005158007320669967,0.0011409553913264167
26.0,0.9971220039410961,0.0005311161720379832,0.001189850136750543
27.0,0.997008814678592,0.0005468731988747868,0.001239493424561684
28.0,0.9968935978638165,0.0005630843037365845,0.0012899377241468069
29.0,0.9967762363823676,0.0005797622996541159,0.001341235523113031
30.0,0.9966566127819658,0.0005969203270589229,0.001393439389839889
31.0,0.9965346091317548,0.0006145718591721423,0.001446602034173859
32.0,0.9964101068869372,0.0006327307072287713,0.0015007763663222383
33.0,0.9962829867585175,0.0006514110255115288,0.0015560155539958897
34.0,0.996153128587952,0.0006706273161665488,0.0016123730778428288
