Parametros,Valor
mu,2.693e-05
gamma,0.09999999999999877
alpha,0.7759850807127194
theta,0.4153551912568307
beta1,0.19999999999999998
beta2,0.19999999999999998
beta3,0.04784713578238574
s0,0.9997542082570838
i0,0.00024579174291616823
