tempo,s,i,sick
0.0,0.9997996785109381,0.0002003214890619054,0.0
1.0,0.9997137762492704,0.00020569428867829074,3.9433384524255624e-05
2.0,0.999626947311823,0.0002112006992891608,7.767052780858116e-05
3.0,0.9995391979117009,0.0002168439203756889,0.00011480603582695765
4.0,0.9994505296320663,0.00022262723081607354,0.00015092973884431738
5.0,0.9993609396889268,0.0002285539906431896,0.00018612697984946489
6.0,0.9992704211756296,0.00023462764282581114,0.00022047888685333981
7.0,0.9991789632901474,0.00024085171507249076,0.00025406262997889657
8.0,0.9990865515461809,0.00024722982165706163,0.0002869516642157675
9.0,0.9989931679690386,0.0002537656652646007,0.00031921595866277804
10.0,0.9988987912772036,0.00026046303885655616,0.0003509222130341227
11.0,0.99880339705044,0.000267325827553597,0.0003821340621604194
12.0,0.9987069578852439,0.00027435801053458757,0.0004129122691737928
13.0,0.9986094435383971,0.00028156366294992524,0.0004433149080264372
14.0,0.9985108210593379,0.00028894695784730396,0.00047339753595464717
15.0,0.9984110549120206,0.00029651216810778016,0.0005032133564649476
16.0,0.9983101070869004,0.00030426366838981895,0.0005328133733855777
17.0,0.9982079372036385,0.00031220593707878867,0.0005622465364950778
18.0,0.9981045026050956,0.0003203435582391497,0.0005915598792099761
19.0,0.9979997584431419,0.00032868122356634636,0.0006207986487854783
20.0,0.9978936577567894,0.0003372237343351628,0.0006500064294565279
21.0,0.9977861515431188,0.0003459760033410381,0.0006792252589215293
22.0,0.9976771888214511,0.00035494305683055885,0.000708495738547342
23.0,0.9975667166911871,0.0003641300364170528,0.0007378571376517545
24.0,0.9974546803837165,0.0003735422009768969,0.0007673474921984784
25.0,0.9973410233087769,0.000383184928521827,0.0007970036982196748
26.0,0.9972256870956231,0.0003930637180421932,0.0008268616002620832
27.0,0.9971086116293493,0.00040318419131574337,0.000856956075134889
28.0,0.9969897350826891,0.00041355209467613735,0.0008873211112204856
29.0,0.996868993943603,0.0004241733007349982,0.0009179898835932057
30.0,0.9967463230389483,0.00043505381005088783,0.0009489948251758477
31.0,0.9966216555545134,0.0004461997527381588,0.000980367694149368
32.0,0.996494923051686,0.00045761739000817615,0.0010121396378173929
33.0,0.9963660554810122,0.00046931311563492726,0.0010443412531141772
34.0,0.9962349811928969,0.0004812934573365381,0.0010770026439322626
35.0,0.9961016269456815,0.0004935650780636964,0.0011101534754343202
36.0,0.9959659179113315,0.0005061347771854407,0.0011438230255024651
37.0,0.995827777678955,0.0005190094915622129,0.001178040233467666
38.0,0.9956871282563707,0.0005321962964954897,0.0012128337462517023
39.0,0.9955438900699329,0.0005457024065427007,0.001248231962044425
40.0,0.9953979819628221,0.000559535176185518,0.0012842630716298053
41.0,0.9952493211919997,0.0005737021003389547,0.0013209550974653966
42.0,0.9950978234240258,0.0005882108146880396,0.0013583359306113538
43.0,0.9949434027299344,0.0006030690958381519,0.001396433365597021
44.0,0.9947859715793586,0.0006182848612643918,0.0014352751333053008
45.0,0.9946254408340958,0.0006338661690446363,0.0014748889319475239
46.0,0.9944617197413042,0.0006498212173601911,0.0015153024561943291
47.0,0.9942947159265187,0.0006661583437471907,0.001556543424521123
48.0,0.9941243353866778,0.0006828860240811266,0.0015986396048199923
49.0,0.9939504824833487,0.0007000128712761034,0.0016416188383234825
50.0,0.9937730599363468,0.0007175476336796257,0.0016855090618794087
51.0,0.9935919688179388,0.0007354991931429221,0.001730338328609819
52.0,0.993407108547828,0.0007538765627460046,0.0017761348269813783
53.0,0.9932183768891198,0.0007726888841558601,0.0018229268983087634
54.0,0.9930256699454678,0.0007919454245953635,0.0018707430527071481
55.0,0.9928288821596066,0.0008116555733997093,0.0019196119835045125
56.0,0.9926279063134815,0.0008318288381363706,0.001969562580119311
57.0,0.992422633530186,0.0008524748402638286,0.002020623939403979
58.0,0.9922129532779275,0.0008736033103035668,0.002072825375449858
59.0,0.9919987533762428,0.0008952240824991077,0.002126196427844333
60.0,0.991779920004692,0.0009173470889351837,0.002180766868366351
61.0,0.9915563377142642,0.0009399823530894942,0.0022365667061019887
62.0,0.9913278894417344,0.0009631399827889102,0.0022936261909573714
63.0,0.9910944565272152,0.0009868301625414505,0.002351975815542024
64.0,0.990855918735155,0.0010110631452148943,0.0024116463153916598
65.0,0.9906121542790395,0.0010358492430325033,0.0024726686674954802
66.0,0.990363039850057,0.0010611988178560322,0.0025350740870892954
67.0,0.9901084506499973,0.0010871222707260018,0.0025988940226721606
68.0,0.9898482604286565,0.0011136300306291316,0.0026641601492008136
69.0,0.9895823415260282,0.0011407325424628598,0.0027309043594129522
70.0,0.9893105649195646,0.0011684402541670587,0.002799158753227364
71.0,0.9890328002767965,0.0011967636029933879,0.0028689556251661258
72.0,0.9887489160136071,0.00122571300088322,0.0029403274497415053
73.0,0.988458779358456,0.0012552988189257635,0.0030133068647479147
74.0,0.9881622564228555,0.0012855313708688837,0.0030879266523972278
75.0,0.987859212278402,0.0013164208956562304,0.0031642197182340714
76.0,0.9875495110406693,0.0013479775389656087,0.0032422190677663205
77.0,0.9872330159602697,0.0013802113337251243,0.003321957780745007
78.0,0.9869095895213892,0.001413132179585489,0.003403468983027234
79.0,0.9865790935481039,0.0014467498213290224,0.003486785815955493
80.0,0.9862413893187795,0.0014810738261983418,0.0035719414031870267
81.0,0.9858963376888535,0.0015161135601305155,0.003658968814907657
82.0,0.9855437992222954,0.0015518781628855833,0.003747901029365762
83.0,0.9851836343320303,0.001588376522061839,0.0038387708916639567
84.0,0.9848157034296071,0.0016256172459941365,0.003931611069748481
85.0,0.9844398670843773,0.001663608635535759,0.004026454007539434
86.0,0.9840559861924397,0.001702358654729055,0.004123331875148768
87.0,0.9836639221555937,0.0017418749003751627,0.004222276516137527
88.0,0.9832635370705213,0.0017821645705186793,0.004323319391769101
89.0,0.9828546939284033,0.0018232344318691233,0.0044264915222214036
90.0,0.9824372568251499,0.0018650907861874819,0.004531823424727885
91.0,0.9820110911824006,0.001907739435673041,0.0046393450486251426
92.0,0.9815760639794213,0.00195118564739306,0.00474908570729375
93.0,0.9811320439959953,0.0019954341168056775,0.004861074006988688
94.0,0.9806789020663674,0.0020404889304347106,0.004975337772566572
95.0,0.9802165113442676,0.0020863535277637307,0.005091903970128702
96.0,0.9797447475789947,0.0021330306624259415,0.005210798626611844
97.0,0.9792634894024985,0.0021805223627759302,0.005332046746372633
98.0,0.9787726186273503,0.002228829891939296,0.005455672224826541
99.0,0.9782720205554382,0.0022779537074464184,0.005581697759218529
100.0,0.977761584297171,0.0023278934205672058,0.0057101447566197585
101.0,0.9772412031009132,0.0023786477554744927,0.00584103323926311
102.0,0.9767107746923119,0.0024302145083747685,0.005974381747349678
103.0,0.9761702016231094,0.0024825905067560974,0.006110207239478901
104.0,0.9756193916289684,0.0025357715689143068,0.006248524990876468
105.0,0.9750582579957607,0.0025897524639297404,0.0063893484896165665
106.0,0.9744867199336975,0.0026445268722779794,0.006532689331058403
107.0,0.9739047029585981,0.0027000873472688533,0.00667855711074101
108.0,0.9733121392795153,0.002756425277518671,0.006826959316005237
109.0,0.9727089681918517,0.002813530850670796,0.006977901216637267
110.0,0.9720951364750137,0.002871393018589353,0.007131385754853903
111.0,0.9714705987935678,0.0029299994642598536,0.007287413434976166
112.0,0.9708353181007725,0.0029893365706387203,0.0074459822131641325
113.0,0.9701892660432725,0.0030493893917009724,0.007607087387612399
114.0,0.9695324233656547,0.0031101416259415103,0.00777072148963176
115.0,0.9688647803134783,0.0031715755925904084,0.007936874176068507
116.0,0.9681863370333056,0.0032336722108062136,0.008105532123537913
117.0,0.967497103968176,0.003296410982113313,0.008276678924972752
118.0,0.9667971022468893,0.0033597699763498355,0.008450294989010834
119.0,0.9660863640653826,0.0034237258213911273,0.008626357442767239
120.0,0.9653649330584185,0.0034882536969104865,0.008804840038556952
121.0,0.964632864659734,0.003553327332433376,0.008985713065151602
122.0,0.9638902264487395,0.0036189190099336927,0.009168943264169713
123.0,0.9631370984818084,0.0036849995712106985,0.00935449375221297
124.0,0.962373573606151,0.003751538430272868,0.0095423239493712
125.0,0.9615997577542329,0.003818503590940051,0.009732389514725695
126.0,0.9608157702166779,0.0038858616698579924,0.009924642289483948
127.0,0.9600217438915764,0.003953577925099324,0.010119030248378484
128.0,0.9592178255081257,0.004021616290502645,0.010315497459957973
129.0,0.9584041758225373,0.004089939415876276,0.010513984056389949
130.0,0.9575809697841722,0.00415850871316577,0.01071442621338102
131.0,0.9567483966699079,0.004227284408654309,0.010916756140802172
132.0,0.9559066601847933,0.004296225601232926,0.011120902084583512
133.0,0.9550559785271189,0.0043652903267431585,0.011326788340414414
134.0,0.9541965844161145,0.004434435628358406,0.011534335279751326
135.0,0.9533287250805922,0.004503617632932288,0.011743459388596632
136.0,0.9524526622069646,0.004572791633202779,0.011954073319467642
137.0,0.9515686718452087,0.004641912175700223,0.012166085956925312
138.0,0.9506770442714895,0.0047109331541658,0.012379402496977566
139.0,0.9497780838063259,0.0047798079082449485,0.012593924540612476
140.0,0.9488721085873609,0.004848489327178064,0.012809550201652038
141.0,0.9479594502959902,0.004916929958168866,0.013026174229048369
142.0,0.947040453837311,0.004985082119069559,0.013243688143671018
143.0,0.9461154769730734,0.0050528980149817946,0.013461980389557301
144.0,0.9451848899075423,0.005120329858333841,0.013680936499517422
145.0,0.9442490748264205,0.005187329991957794,0.013900439274903345
146.0,0.9433084253892274,0.005253851014656483,0.014120368979265446
147.0,0.9423633461757824,0.005319845908718507,0.014340603545534422
148.0,0.941414252087696,0.005385268168811778,0.014561018796278751
149.0,0.9404615677060321,0.0054500719316617095,0.014781488676500521
150.0,0.9395057266065626,0.005514212105899881,0.015001885498345784
151.0,0.9385471706342923,0.005577644501453163,0.015222080197020305
152.0,0.9375863491391823,0.005640325957832067,0.015441942597118513
153.0,0.9366237181752483,0.0057022144706707755,0.015661341688493514
154.0,0.9356597396654439,0.005763269315870116,0.01588014591071985
155.0,0.9346948805349662,0.005823451170698763,0.016098223445129164
156.0,0.9337296118158322,0.005882722231217278,0.016315442513332862
157.0,0.932764407725774,0.005941046325404277,0.016531671681085727
158.0,0.9317997447246762,0.005998389021383881,0.016746780166291338
159.0,0.930836100551947,0.0060547177301787025,0.016960638149904256
160.0,0.9298739532483484,0.006110001802442624,0.01717311708844614
161.0,0.9289137801659345,0.006164212618662353,0.01738409002682355
162.0,0.9279560569698403,0.006217323672355908,0.017593431910114705
163.0,0.9270012566357363,0.006269310645839373,0.017801019892981117
164.0,0.9260498484468105,0.006320151478180096,0.018006733645358108
165.0,0.9251022969941601,0.006369826425004541,0.018210455653085763
166.0,0.9241590611844728,0.006418318109881677,0.018412071512159074
167.0,0.923220593258845,0.006465611567057622,0.018611470215302635
168.0,0.9222873378265334,0.00651169427537374,0.018808544429611142
169.0,0.9213597309173513,0.006556556183257765,0.019003190764041913
170.0,0.9204381990563215,0.0066001897247354785,0.0191953100255992
171.0,0.9195231583640677,0.006642589826468149,0.01938480746311187
172.0,0.9186150136862807,0.006683753905877988,0.019571592997575306
173.0,0.9177141577554224,0.00672368186047959,0.0197555814381049
174.0,0.916820970387648,0.006762376048589248,0.01993669268263103
175.0,0.9159358177177177,0.006799841261635618,0.020114851902553684
176.0,0.9150590514744531,0.0068360846883440424,0.020289989710667804
177.0,0.9141910082990589,0.006871115871112414,0.020462042311767174
178.0,0.9133320091083876,0.006904946654938489,0.020630951635434443
179.0,0.9124823585049756,0.0069375911292967034,0.020796665450626698
180.0,0.9116423442354147,0.006969065563396415,0.020959137461769077
181.0,0.9108122366983685,0.006999388335283121,0.021118327386172114
182.0,0.9099922885032727,0.007028579855269178,0.021274201012691334
183.0,0.909182734080495,0.007056662484200918,0.02142673024164871
184.0,0.9083837893434714,0.007083660447084835,0.02157589310613465
185.0,0.9075956514030735,0.007109599742606491,0.021721673774905026
186.0,0.9068184983342128,0.00713450804908236,0.021864062537179887
187.0,0.9060524889944416,0.007158414627386776,0.022003055769738156
188.0,0.905297762894077,0.00718135022139394,0.022138655886785246
189.0,0.9045544401171515,0.007203346956468532,0.02227087127314762
190.0,0.9038226212922774,0.007224438236528312,0.022399716201419305
191.0,0.9031023876123226,0.007244658640188284,0.022525210733750068
192.0,0.9023938009016009,0.0072640438164789795,0.022647380609022928
193.0,0.901696903729119,0.007282630380611425,0.02276625711621964
