Parametros,Valor
mu,3.595e-05
gamma,0.03277360932261536
alpha,0.8116557830352177
theta,0.4446027397260271
beta1,0.19999999999999998
beta2,0.199999999999999
beta3,0.058791661625644455
s0,0.9997996785124244
i0,0.00020032148757564983
