tempo,s,i,sick
0.0,0.9998825969422156,0.0001174030577844043,0.0
1.0,0.9998324188818493,0.00012046749196849056,2.3009373202917418e-05
2.0,0.9997818678644523,0.0001236101827024224,4.51273239892674e-05
3.0,0.9997309538053017,0.0001268332237105823,6.642699078226911e-05
4.0,0.9996796826096864,0.00013013877136899648,8.69771811074047e-05
5.0,0.9996280564512755,0.00013352904660532487,0.00010684266469557834
6.0,0.9995760740284967,0.00013700633685886758,0.00012608444795598204
7.0,0.999523730800398,0.00014057299810221903,0.00014476003103835308
8.0,0.9994710192033677,0.00014423145692622907,0.00016292364862554744
9.0,0.9994179288499914,0.000147984212689955,0.0001806264955237031
10.0,0.9993644467112398,0.0001518338397373132,0.00019791693804839798
11.0,0.9993105572830976,0.00015578298968216037,0.0002148407121408067
12.0,0.9992562427386671,0.00015983439376355508,0.00023144110908764022
13.0,0.9992014830667106,0.00016399086527296722,0.00024775914966233993
14.0,0.9991462561975273,0.00016825530205521837,0.00026383374745233933
15.0,0.9990905381169981,0.00017263068908494734,0.00027970186208796485
16.0,0.9990343029695766,0.00017712010112040373,0.0002953986430425015
17.0,0.9989775231509452,0.00018172670543637758,0.000310957564629887
18.0,0.9989201693910095,0.00018645376463807237,0.00032641055278623233
19.0,0.9988622108278539,0.00019130463955772568,0.00034178810418370787
20.0,0.9988036150732393,0.00019628279223577182,0.0003571193981901175
21.0,0.9987443482701798,0.00020139178898832577,0.00037243240215454763
22.0,0.9986843751430994,0.0002066353035627466,0.000387753970468673
23.0,0.9986236590410345,0.00021201712038301066,0.00040310993782448996
24.0,0.9985621619743098,0.00021754113788658886,0.0004185252070622981
25.0,0.9984998446450913,0.0002232113719544788,0.00043402383197754053
26.0,0.9984366664721837,0.00022903195943598962,0.00044962909543152905
27.0,0.9983725856104178,0.00023500716176981493,0.0004653635830890117
28.0,0.9983075589649464,0.0002411413687028556,0.0004812492530848931
29.0,0.9982415422007422,0.0002474391021081699,0.0004973075019030903
30.0,0.9981744897475724,0.00025390501990333014,0.000513559226732417
31.0,0.9981063548007019,0.00026054392007035434,0.0005300248845474519
32.0,0.9980370893175596,0.0002673607447782554,0.0005467245481464825
33.0,0.9979666440105844,0.0002743605846091075,0.0005636779593637585
34.0,0.9978949683364503,0.00028154868288837026,0.0005809045796593608
35.0,0.9978220104818566,0.0002889304401200329,0.0005984236382769371
36.0,0.9977477173460549,0.00029651141852694206,0.0006162541781473107
37.0,0.9976720345202712,0.0003042973466964561,0.0006344150997044763
38.0,0.9975949062641685,0.0003122941243313242,0.0006529252027697033
39.0,0.9975162754794891,0.00032050782710542146,0.0006718032266493288
40.0,0.9974360836809997,0.00032894471162367065,0.0006910678885822782
41.0,0.9973542709648581,0.0003376112204851601,0.0007107379206643773
42.0,0.9972707759745097,0.00034651398744810593,0.000730832105368047
43.0,0.9971855358642169,0.00035565984269491887,0.0007513693097679922
44.0,0.9970984862603136,0.0003650558181952079,0.0007723685185759402
45.0,0.9970095612202781,0.00037470915316408865,0.0007938488660803427
46.0,0.9969186931897044,0.0003846272996126571,0.0008158296670801759
47.0,0.9968258129572553,0.00039481792798694087,0.0008383304468955351
48.0,0.9967308496076703,0.00040528893289104297,0.0008613709705315874
49.0,0.9966337304729048,0.0004160484388895455,0.0008849712710665906
50.0,0.9965343810814675,0.0004271048063835442,0.0009091516773290803
51.0,0.9964327251060288,0.0004384666375539265,0.0009339328409239433
52.0,0.9963286843093653,0.0004501427823646936,0.000959335762661912
53.0,0.9962221784887104,0.0004621423446182464,0.000985381818441998
54.0,0.9961131254185779,0.0004744746880536125,0.0010120927846315197
55.0,0.9960014407921269,0.0004871494424775751,0.001039490862983641
56.0,0.9958870381611403,0.0005001765099175741,0.0010675987051276996
57.0,0.9957698288746883,0.0005135660707840819,0.0010964394366630532
58.0,0.995649722016554,0.0005273285900289047,0.0011260366808826788
59.0,0.995526624341499,0.0005414748232845229,0.0011564145821483071
60.0,0.9954004402104544,0.0005560158229681518,0.0011875978289344474
61.0,0.995271071524726,0.0005709629443326837,0.0012196116765542245
62.0,0.9951384176593079,0.0005863278514450442,0.001252481969575507
63.0,0.9950023753954061,0.0006021225230707684,0.0012862351639313207
64.0,0.9948628388522828,0.0006183592584417656,0.001320898348724006
65.0,0.9947196994185352,0.0006350506828822928,0.0013564992677179693
66.0,0.9945728456829394,0.0006522097532660909,0.001393066340511176
67.0,0.9944221633649915,0.0006698497632754513,0.0014306286833707363
68.0,0.9942675352452962,0.0006879843484306717,0.0014692161297129947
69.0,0.9941088410959605,0.0007066274908559239,0.0015088592502034775
70.0,0.9939459576111634,0.0007257935237449891,0.0015495893724468217
71.0,0.9937787583380885,0.0007454971354876165,0.0015914386002314172
72.0,0.9936071136084185,0.0007657533734144292,0.0016344398322879143
73.0,0.9934308904706081,0.0007865776471153341,0.0016786267805149703
74.0,0.9932499526231675,0.000807985731283284,0.0017240339876196146
75.0,0.9930641603492074,0.0008299937680320079,0.0017706968441133977
76.0,0.9928733704525148,0.0008526182686329425,0.0018186516045990324
77.0,0.9926774361954501,0.000875876114613104,0.0018679354032755384
78.0,0.9924762072389764,0.0008997845581519994,0.001918586268582941
