Parametros,Valor
mu,2e-05
gamma,0.027691732576644174
alpha,0.6698685496659278
beta1,0.14285714285714196
beta2,0.18188395738249627
beta3,0.06666666666666665
s0,0.9997857652230214
i0,0.0002142347769785724
