Município1;UF1;Data;Índice De Isolamento
CAMPINAS;SP;quinta-feira, 04/06;47%
CAMPINAS;SP;sexta-feira, 05/06;46%
CAMPINAS;SP;sábado, 06/06;49%
CAMPINAS;SP;domingo, 07/06;52%
CAMPINAS;SP;segunda-feira, 08/06;46%
CAMPINAS;SP;terça-feira, 09/06;46%
CAMPINAS;SP;quarta-feira, 10/06;46%
CAMPINAS;SP;quinta-feira, 11/06;47%
CAMPINAS;SP;sexta-feira, 12/06;45%
CAMPINAS;SP;sábado, 13/06;48%
CAMPINAS;SP;domingo, 14/06;52%
CAMPINAS;SP;segunda-feira, 15/06;46%
CAMPINAS;SP;terça-feira, 16/06;46%
CAMPINAS;SP;quarta-feira, 17/06;46%
CAMPINAS;SP;quinta-feira, 18/06;44%
CAMPINAS;SP;sexta-feira, 19/06;45%
CAMPINAS;SP;sábado, 20/06;48%
CAMPINAS;SP;domingo, 21/06;52%
CAMPINAS;SP;segunda-feira, 22/06;46%
CAMPINAS;SP;terça-feira, 23/06;46%
CAMPINAS;SP;quarta-feira, 24/06;46%
CAMPINAS;SP;quinta-feira, 25/06;45%
CAMPINAS;SP;sexta-feira, 26/06;45%
CAMPINAS;SP;sábado, 27/06;49%
CAMPINAS;SP;domingo, 28/06;52%
CAMPINAS;SP;segunda-feira, 29/06;46%
CAMPINAS;SP;terça-feira, 30/06;46%
CAMPINAS;SP;quarta-feira, 01/07;45%
CAMPINAS;SP;quinta-feira, 02/07;45%
CAMPINAS;SP;sexta-feira, 03/07;45%
CAMPINAS;SP;sábado, 04/07;47%
CAMPINAS;SP;domingo, 05/07;52%
CAMPINAS;SP;segunda-feira, 06/07;45%
CAMPINAS;SP;terça-feira, 07/07;45%
CAMPINAS;SP;quarta-feira, 08/07;45%
CAMPINAS;SP;quinta-feira, 09/07;46%
CAMPINAS;SP;sexta-feira, 10/07;45%
CAMPINAS;SP;sábado, 11/07;47%
CAMPINAS;SP;domingo, 12/07;51%
CAMPINAS;SP;segunda-feira, 13/07;45%
CAMPINAS;SP;terça-feira, 14/07;45%
CAMPINAS;SP;quarta-feira, 15/07;45%
CAMPINAS;SP;quinta-feira, 16/07;45%
CAMPINAS;SP;sexta-feira, 17/07;44%
CAMPINAS;SP;sábado, 18/07;47%
CAMPINAS;SP;domingo, 19/07;51%
CAMPINAS;SP;segunda-feira, 20/07;41%
CAMPINAS;SP;terça-feira, 21/07;41%
CAMPINAS;SP;quarta-feira, 22/07;41%
CAMPINAS;SP;quinta-feira, 23/07;41%
CAMPINAS;SP;sexta-feira, 24/07;40%
SANTOS;SP;quinta-feira, 05/03;29%
SANTOS;SP;sexta-feira, 06/03;28%
SANTOS;SP;quinta-feira, 12/03;26%
SANTOS;SP;sexta-feira, 13/03;29%
SANTOS;SP;terça-feira, 17/03;37%
SANTOS;SP;quarta-feira, 18/03;39%
SANTOS;SP;quinta-feira, 19/03;42%
SANTOS;SP;sexta-feira, 20/03;45%
SANTOS;SP;sábado, 21/03;55%
SANTOS;SP;domingo, 22/03;56%
SANTOS;SP;segunda-feira, 23/03;52%
SANTOS;SP;terça-feira, 24/03;53%
SANTOS;SP;quarta-feira, 25/03;54%
SANTOS;SP;quinta-feira, 26/03;54%
SANTOS;SP;sexta-feira, 27/03;53%
SANTOS;SP;sábado, 28/03;55%
SANTOS;SP;domingo, 29/03;58%
SANTOS;SP;segunda-feira, 30/03;56%
SANTOS;SP;terça-feira, 31/03;55%
SANTOS;SP;quarta-feira, 01/04;54%
SANTOS;SP;quinta-feira, 02/04;55%
SANTOS;SP;sexta-feira, 03/04;54%
SANTOS;SP;sábado, 04/04;58%
SANTOS;SP;domingo, 05/04;59%
SANTOS;SP;segunda-feira, 06/04;52%
SANTOS;SP;terça-feira, 07/04;51%
SANTOS;SP;quarta-feira, 08/04;51%
SANTOS;SP;quinta-feira, 09/04;48%
SANTOS;SP;sexta-feira, 10/04;57%
SANTOS;SP;sábado, 11/04;54%
SANTOS;SP;domingo, 12/04;58%
SANTOS;SP;segunda-feira, 13/04;49%
SANTOS;SP;terça-feira, 14/04;48%
SANTOS;SP;quarta-feira, 15/04;49%
SANTOS;SP;quinta-feira, 16/04;49%
SANTOS;SP;sexta-feira, 17/04;48%
SANTOS;SP;sábado, 18/04;54%
SANTOS;SP;domingo, 19/04;59%
SANTOS;SP;segunda-feira, 20/04;50%
SANTOS;SP;terça-feira, 21/04;57%
SANTOS;SP;quarta-feira, 22/04;47%
SANTOS;SP;quinta-feira, 23/04;48%
