"","datahora","casos","obitos","pop"
"36060","2020-04-21",199,7,1175501
"36702","2020-04-22",202,9,1175501
"37344","2020-04-23",211,9,1175501
"37986","2020-04-24",229,11,1175501
"38628","2020-04-25",256,11,1175501
"39270","2020-04-26",262,12,1175501
"39912","2020-04-27",279,12,1175501
"40554","2020-04-28",320,12,1175501
"41196","2020-04-29",344,16,1175501
"41838","2020-04-30",369,18,1175501
"42480","2020-05-01",372,19,1175501
"43122","2020-05-02",380,20,1175501
"43764","2020-05-03",402,21,1175501
"44406","2020-05-04",403,21,1175501
"45048","2020-05-05",430,22,1175501
"45690","2020-05-06",462,22,1175501
"46332","2020-05-07",495,23,1175501
"46974","2020-05-08",527,25,1175501
"47616","2020-05-09",595,25,1175501
"48258","2020-05-10",609,25,1175501
"48900","2020-05-11",615,26,1175501
"49542","2020-05-12",643,27,1175501
"50184","2020-05-13",730,27,1175501
"50826","2020-05-14",769,29,1175501
"51468","2020-05-15",840,33,1175501
"52110","2020-05-16",946,35,1175501
"52752","2020-05-17",987,37,1175501
"53394","2020-05-18",1006,41,1175501
"54036","2020-05-19",1073,42,1175501
"54678","2020-05-20",1132,44,1175501
"55320","2020-05-21",1192,45,1175501
"55962","2020-05-22",1247,47,1175501
"56604","2020-05-23",1306,52,1175501
"57246","2020-05-24",1335,53,1175501
"57888","2020-05-25",1382,57,1175501
"58530","2020-05-26",1415,61,1175501
"59172","2020-05-27",1454,64,1175501
"59814","2020-05-28",1520,65,1175501
"60456","2020-05-29",1627,69,1175501
"61098","2020-05-30",1733,74,1175501
"61740","2020-05-31",1753,75,1175501
"62382","2020-06-01",1822,78,1175501
"63024","2020-06-02",1928,79,1175501
"63666","2020-06-03",2099,80,1175501
"64308","2020-06-04",2247,90,1175501
"64950","2020-06-05",2414,93,1175501
"65592","2020-06-06",2604,101,1175501
"66234","2020-06-07",2717,104,1175501
"66876","2020-06-08",2752,107,1175501
"67518","2020-06-09",2914,116,1175501
"68160","2020-06-10",3121,121,1175501
"68802","2020-06-11",3291,130,1175501
"69444","2020-06-12",3490,136,1175501
"70086","2020-06-13",3682,148,1175501
"70728","2020-06-14",3852,148,1175501
"71370","2020-06-15",3884,149,1175501
"72012","2020-06-16",4257,164,1175501
"72654","2020-06-17",4302,185,1175501
"73296","2020-06-18",4330,194,1175501
"73938","2020-06-19",5127,203,1175501
"74580","2020-06-20",5317,211,1175501
"75222","2020-06-21",5459,211,1175501
"75864","2020-06-22",5638,213,1175501
"76506","2020-06-23",5890,236,1175501
"77148","2020-06-24",6324,253,1175501
"77790","2020-06-25",6604,271,1175501
"78432","2020-06-26",6944,278,1175501
"79074","2020-06-27",7274,292,1175501
"79716","2020-06-28",7626,293,1175501
"80358","2020-06-29",7743,297,1175501
"81000","2020-06-30",8020,316,1175501
"81642","2020-07-01",8424,324,1175501
"82284","2020-07-02",8773,341,1175501
"82926","2020-07-03",9051,354,1175501
"83568","2020-07-04",9130,364,1175501
"84210","2020-07-05",9433,370,1175501
"84852","2020-07-06",9624,374,1175501
"85494","2020-07-07",10054,384,1175501
"86136","2020-07-08",10460,403,1175501
"86778","2020-07-09",10776,420,1175501
"87420","2020-07-10",11079,436,1175501
"88062","2020-07-11",11367,446,1175501
"88704","2020-07-12",11513,453,1175501
"89346","2020-07-13",11651,455,1175501
"89988","2020-07-14",11965,481,1175501
"90630","2020-07-15",12257,501,1175501
"91272","2020-07-16",12557,516,1175501
"91914","2020-07-17",12757,526,1175501
"92556","2020-07-18",12884,538,1175501
"93198","2020-07-19",12968,543,1175501
"93840","2020-07-20",13213,544,1175501
"94482","2020-07-21",13366,568,1175501
"95124","2020-07-22",14067,578,1175501
"95766","2020-07-23",14542,603,1175501
"96408","2020-07-24",15166,618,1175501
"97050","2020-07-25",15676,634,1175501
