,Parameter,Value
0,mu,2e-05
1,gamma,0.999992440796169
2,alpha,0.30000001427593176
3,theta,0.47
4,beta1,0.03858336959927521
5,beta2,0.060326439792442
6,beta3,0.5016135143577157
7,s0,0.7475778560737635
8,i0,0.0002818670723196844
9,sick0,0.0
