,Parameter,Value
0,mu,2e-05
1,gamma,0.03347979934732085
2,alpha,0.30000004508983585
3,theta,0.4786
4,beta1,0.04024989464767564
5,beta2,0.052914523299168126
6,beta3,0.5633616411848663
7,s0,0.7054182651759936
8,i0,0.00017677607231527496
9,sick0,0.0
