"","datahora","casos","obitos","pop"
"32660","2020-04-15",7764,558,11869660
"33302","2020-04-16",7908,603,11869660
"33944","2020-04-17",8744,643,11869660
"34586","2020-04-18",9428,686,11869660
"35228","2020-04-19",9668,700,11869660
"35870","2020-04-20",9815,715,11869660
"36512","2020-04-21",10342,753,11869660
"37154","2020-04-22",10691,778,11869660
"37796","2020-04-23",11225,912,11869660
"38438","2020-04-24",11800,1010,11869660
"39080","2020-04-25",13098,1099,11869660
"39722","2020-04-26",13513,1114,11869660
"40364","2020-04-27",13989,1172,11869660
"41006","2020-04-28",15397,1321,11869660
"41648","2020-04-29",16638,1439,11869660
"42290","2020-04-30",18149,1522,11869660
"42932","2020-05-01",19087,1607,11869660
"43574","2020-05-02",19494,1661,11869660
"44216","2020-05-03",19822,1673,11869660
"44858","2020-05-04",20073,1683,11869660
"45500","2020-05-05",21140,1801,11869660
"46142","2020-05-06",23187,1910,11869660
"46784","2020-05-07",24273,1986,11869660
"47426","2020-05-08",25367,2110,11869660
"48068","2020-05-09",26787,2223,11869660
"48710","2020-05-10",27307,2266,11869660
"49352","2020-05-11",27771,2281,11869660
"49994","2020-05-12",28682,2405,11869660
"50636","2020-05-13",30402,2494,11869660
"51278","2020-05-14",31873,2596,11869660
"51920","2020-05-15",33992,2674,11869660
"52562","2020-05-16",35429,2792,11869660
"53204","2020-05-17",35931,2835,11869660
"53846","2020-05-18",36188,2856,11869660
"54488","2020-05-19",37640,3029,11869660
"55130","2020-05-20",39466,3135,11869660
"55772","2020-05-21",41451,3238,11869660
"56414","2020-05-22",42973,3352,11869660
"57056","2020-05-23",44887,3491,11869660
"57698","2020-05-24",45527,3534,11869660
"58340","2020-05-25",46204,3555,11869660
"58982","2020-05-26",47554,3691,11869660
"59624","2020-05-27",49264,3826,11869660
"60266","2020-05-28",52719,3958,11869660
"60908","2020-05-29",55741,4116,11869660
"61550","2020-05-30",58619,4239,11869660
"62192","2020-05-31",60131,4280,11869660
"62834","2020-06-01",61126,4304,11869660
"63476","2020-06-02",64443,4443,11869660
"64118","2020-06-03",66777,4564,11869660
"64760","2020-06-04",69347,4675,11869660
"65402","2020-06-05",71453,4805,11869660
"66044","2020-06-06",73861,4901,11869660
"66686","2020-06-07",74796,4920,11869660
"67328","2020-06-08",75699,4937,11869660
"67970","2020-06-09",78026,5073,11869660
"68612","2020-06-10",80457,5232,11869660
"69254","2020-06-11",83076,5357,11869660
"69896","2020-06-12",85622,5480,11869660
"70538","2020-06-13",88025,5599,11869660
"71180","2020-06-14",91198,5623,11869660
"71822","2020-06-15",93448,5652,11869660
"72464","2020-06-16",97676,5819,11869660
"73106","2020-06-17",98132,5959,11869660
"73748","2020-06-18",98530,6097,11869660
"74390","2020-06-19",105407,6255,11869660
"75032","2020-06-20",105591,6371,11869660
"75674","2020-06-21",106540,6387,11869660
"76316","2020-06-22",107731,6404,11869660
"76958","2020-06-23",110214,6583,11869660
"77600","2020-06-24",113261,6675,11869660
"78242","2020-06-25",117311,6794,11869660
"78884","2020-06-26",121163,6880,11869660
"79526","2020-06-27",122759,6982,11869660
"80168","2020-06-28",124105,7003,11869660
"80810","2020-06-29",125012,7026,11869660
"81452","2020-06-30",127119,7162,11869660
"82094","2020-07-01",129328,7258,11869660
"82736","2020-07-02",134984,7370,11869660
"83378","2020-07-03",137074,7479,11869660
"84020","2020-07-04",137762,7597,11869660
"84662","2020-07-05",139871,7621,11869660
"85304","2020-07-06",140231,7634,11869660
"85946","2020-07-07",142502,7743,11869660
"86588","2020-07-08",144573,7864,11869660
"87230","2020-07-09",146739,7964,11869660
"87872","2020-07-10",149431,8089,11869660
"88514","2020-07-11",151365,8176,11869660
"89156","2020-07-12",152806,8212,11869660
"89798","2020-07-13",154013,8231,11869660
"90440","2020-07-14",158802,8336,11869660
"91082","2020-07-15",160326,8451,11869660
"91724","2020-07-16",162242,8585,11869660
"92366","2020-07-17",163624,8696,11869660
"93008","2020-07-18",165094,8770,11869660
"93650","2020-07-19",166073,8778,11869660
"94292","2020-07-20",166348,8799,11869660
"94934","2020-07-21",167801,8920,11869660
"95576","2020-07-22",171119,9025,11869660
"96218","2020-07-23",173710,9098,11869660
"96860","2020-07-24",176190,9156,11869660
"97502","2020-07-25",179115,9205,11869660
"98144","2020-07-26",179777,9222,11869660
"98786","2020-07-27",182027,9241,11869660
"99428","2020-07-28",185708,9318,11869660
"100070","2020-07-29",188827,9396,11869660
"100712","2020-07-30",193684,9470,11869660
"101354","2020-07-31",197560,9549,11869660
"101996","2020-08-01",199674,9619,11869660
"102638","2020-08-02",200444,9634,11869660
"103280","2020-08-03",200705,9644,11869660
"103922","2020-08-04",203279,9702,11869660
