,Parameter,Value
0,mu,2e-05
1,gamma,0.021740203895989945
2,alpha,0.4424780749684381
3,theta,0.48
4,beta1,0.14285709363697302
5,beta2,0.047619049573036185
6,beta3,0.06666666603448962
7,s0,0.9997030137347944
8,i0,0.0002969862652055788
9,sick0,0.0
